Process_ID,Interval,Layer,Sv_mean,NASC,Layer_depth_min,Layer_depth_max,Ping_S,Dist_S,Date_S,Time_S,Lat_M,Lon_M,Frequency
3966,2497994,5,-82.380660,1.254432,20.000000,25.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,6,-84.411040,0.756866,25.000000,30.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,7,-84.919864,0.699080,30.000000,35.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,8,-84.192853,0.826472,35.000000,40.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,9,-84.101756,0.843991,40.000000,45.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,10,-86.306345,0.508018,45.000000,50.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,11,-90.758329,0.175505,50.000000,55.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,12,-91.271282,0.161952,55.000000,60.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,13,-89.841045,0.225117,60.000000,65.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,14,-89.149430,0.263979,65.000000,70.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,15,-89.680969,0.233570,70.000000,75.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,16,-90.806421,0.173572,75.000000,80.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,17,-95.223570,0.065186,80.000000,85.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,18,-109.176048,0.002624,85.000000,90.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,19,-106.922904,0.004408,90.000000,95.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,20,-999.000000,0.000000,95.000000,100.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,21,-999.000000,0.000000,100.000000,105.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,22,-999.000000,0.000000,105.000000,110.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,23,-999.000000,0.000000,110.000000,115.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,24,-999.000000,0.000000,115.000000,120.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,25,-999.000000,0.000000,120.000000,125.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,26,-999.000000,0.000000,125.000000,130.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,27,-999.000000,0.000000,130.000000,135.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,28,-999.000000,0.000000,135.000000,140.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,29,-999.000000,0.000000,140.000000,145.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,30,-999.000000,0.000000,145.000000,150.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,31,-999.000000,0.000000,150.000000,155.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,32,-999.000000,0.000000,155.000000,160.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,33,-999.000000,0.000000,160.000000,165.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,34,-999.000000,0.000000,165.000000,170.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,35,-999.000000,0.000000,170.000000,175.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,36,-999.000000,0.000000,175.000000,180.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,37,-999.000000,0.000000,180.000000,185.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
3966,2497994,38,-999.000000,0.000000,185.000000,190.000000,9,0.049575,20170630,04:10:02.6600,81.51982659,33.48166524,200.000000
